objectid,filename,youtubeid,title,creator,date,description,subject,source,type,format,pages,language,rights,rightsstatement
DIG-IT01,(Book 7)_Harry_Potter_And_The_Deathly_Hallows.pdf,,Harry Potter and The Deadly Hallows,J.K Rowling,2007,"Harry Potter and the Deathly Hallows is a fantasy novel written by British author J. K. Rowling and the seventh and final novel in the Harry Potter series. It was released on 21 July 2007 in the United Kingdom by Bloomsbury Publishing, in the United States by Scholastic, and in Canada by Raincoast Books",Fiction Novel,GetBooks,Book,pdf,759,English,,
DIG-IT02,-+3104483476_140.jpg,,Vagrant and Accidentals,Kevin Craft,2017,Vafrant and Accidentals is a selection of poems by Kevin Craft. specifically the pacific Northwest poetry series,"Nature, Poetry",WorldCat,Image,jpg,,English,,
DIG-IT03,05_Harry_Potter_and_the_Order_of_the_Phoenix_by_J.K._Rowling.pdf,,Harry Potter and the Order of the Phoenix,J.K Rowling,2003,Harry Potter and the Order of the Phoenix is a fantasy novel written by British author J. K. Rowling and the fifth novel in the Harry Potter series.,Fiction Novel,Getbooks,Book,pdf,891,English,Text copyright @ 2003,
DIG-IT04,2023_MAINDATES.pdf,,Main dates,University of Pretoria,2023,"UP academic calender with holidays, semester breaks and test and exam period, along with cooling-off period.",Academic calender,University of Pretoria website,Calender,pdf,4,English,,
DIG-IT05,artbankSA_Jeanette_Unite_Geo_Seam_Mineral_Matters_2016_1900x1800mm_1_180x180.jpg,,Geo-Seam,Jeanette,2016,An artwork by Jeanette using minaral matter,Artwork,ArtBank SA,Image,jpg,,English,,
DIG-IT06,Been_So_Good_(feat. Tiffany Hudson) _ Official_Lyric_Video _ Elevation_Worship.mp3,,Been So Good,Tiffany Hudson ft Elevation Worship,2023,Gospel song,Music,Fakaza,Audio,mp3,,English,,
DIG-IT07,Bible.jpg,,Bible,United Methodist,2012,Gospel song,Music,Fakaza,Audio,mp3,,English,,
DIG-IT08,bikini_picture.jpg,,Bikini,Pinterest,2020,An image of a lady in a bikini,Lifestyle,Pinterest,Image,jpg,,English,,
DIG-IT09,Cook_Islands_chameleonseye_GettyImages_626372120_RFC.jpg,,Cook Island,Bret Atkinson,2022,An assortment of summertropical fruits,Travel,lonelyplanet,Image,jpg,,English,,
DIG-IT10,Diary_of_a_mental_peer_worker.pdf,,Diary of mental peer worker,Marianne Wyder,2020,Study into the role of peer work in a clinical mental setting,Mental Health,Frontiers,Document,pdf,7,English,Open Acess,
